Time,Latitude,Longitude,Course,kts,mph,AltitudeFeet,Reporting Facility
10:01:48 PM,-35.3624,178.9476,220,490,564,39000,FlightAware ADS-B (NZRW)
12:24:25 PM,27.2786,-132.8018,222,,,34000,FlightAware Approximate
10:02:35 PM,-35.4432,178.8648,220,488,562,38975,FlightAware ADS-B (NZRW)
10:06:20 PM,-35.7657,178.4115,246,466,536,38975,FlightAware ADS-B (AMZ / NZAR)
8:00:27 PM,-22.5799,-171.5166,209,,,37975,FlightAware Approximate
9:58:51 PM,-35.0511,179.2643,220,489,563,38975,FlightAware ADS-B (WHK / NZWK)
5:57:11 PM,-8.9991,-162.1889,219,489,563,37975,FlightAware ADS-B (MHX / NCMH)
7:16:09 PM,-17.4919,-168.4711,210,,,37975,FlightAware Approximate
7:38:44 PM,-20.0703,-170.0405,208,,,37975,FlightAware Approximate
11:24:01 AM,32.277,-125.3237,242,521,600,34000,FlightAware ADS-B (KSBA)
11:44:59 AM,30.9,-128.2333,240,488,562,34000,Oakland Oceanic
11:10:25 AM,33.1379,-123.3899,244,480,552,34000,FlightAware ADS-B (KSBA)
10:30:26 PM,-36.8277,175.3826,247,272,313,8450,FlightAware ADS-B (NZPI)
10:34:35 AM,33.9321,-118.4559,263,196,226,1775,FlightAware ADS-B (KSMO)
10:43:53 AM,33.8505,-119.441,263,406,467,16850,FlightAware ADS-B (KCSL)
8:24:01 PM,-25.2937,-173.168,207,,,37975,FlightAware Approximate
7:51:15 PM,-21.5183,-170.8851,209,,,37975,FlightAware Approximate
2:47:22 PM,11.55,-145.7833,218,497,572,36000,Oakland Oceanic
9:55:07 PM,-34.6667,179.65,219,489,563,37975, New Zealand
5:50:41 PM,-8.3072,-161.6317,219,490,564,37975,FlightAware ADS-B (MHX / NCMH)
7:43:18 PM,-20.5991,-170.3468,209,,,37975,FlightAware Approximate
5:44:51 PM,-7.6836,-161.1317,219,487,560,38000,FlightAware ADS-B (PYE / NCPY)
9:33:34 PM,-33.0216,-178.7484,218,,,37975,FlightAware Approximate
10:36:14 PM,-36.9678,174.946,251,166,191,2900,FlightAware ADS-B (AKL / NZAA)
6:34:06 PM,-12.8975,-165.2931,218,,,37975,FlightAware Approximate
12:45:55 PM,25,-135,221,499,574,34000,Oakland Oceanic
10:27:09 PM,-36.7211,175.7006,247,333,383,12000,FlightAware ADS-B (AKL / NZAA)
4:42:33 PM,-1.0167,-155.8167,219,489,563,36000,Oakland Oceanic
6:23:56 PM,-11.7977,-164.4154,218,,,38000,FlightAware Approximate
10:40:51 AM,33.8902,-119.051,263,372,428,12475,FlightAware ADS-B (KSNA)
5:49:11 PM,-8.1472,-161.5031,219,491,565,37975,FlightAware ADS-B (MHX / NCMH)
11:06:12 AM,33.3907,-122.8014,243,475,547,33975,FlightAware ADS-B (KEMT)
5:01:45 PM,-3.0833,-157.4667,219,493,567,36000,Oakland Oceanic
9:12:00 PM,-30.7842,-176.6915,217,,,37975,FlightAware Approximate
10:04:08 PM,-35.6044,178.6994,220,488,562,39000,FlightAware ADS-B (TRG / NZTG)
7:58:05 PM,-22.3071,-171.3533,209,,,37975,FlightAware Approximate
8:15:58 PM,-24.3647,-172.6043,209,,,37975,FlightAware Approximate
10:17:21 PM,-36.331,176.8372,247,415,478,27475,FlightAware ADS-B (WHK / NZWK)
10:36:31 PM,-36.9724,174.9295,251,162,186,2625,FlightAware ADS-B (AKL / NZAA)
7:53:32 PM,-21.782,-171.041,209,,,37975,FlightAware Approximate
9:03:51 PM,-29.9236,-175.9517,209,,,37975,FlightAware Approximate
3:01:38 PM,10,-147,219,499,574,36000,Oakland Oceanic
11:13:25 AM,32.9517,-123.8169,243,484,557,33975,FlightAware ADS-B (KSBA)
11:02:23 AM,33.528,-122.2334,262,464,534,33975,FlightAware ADS-B (KSBA)
6:07:11 PM,-10.0517,-163.0404,218,,,38000,FlightAware Approximate
11:26:01 AM,32.1499,-125.6005,243,493,567,34000,FlightAware ADS-B (KSBA)
10:58:35 AM,33.5998,-121.658,262,465,535,32925,FlightAware ADS-B (KSBA)
6:27:13 PM,-12.1824,-164.7214,218,483,556,37975,FlightAware ADS-B (NCPK)
6:35:22 PM,-13.0289,-165.3987,218,,,37975,FlightAware Approximate
8:18:19 PM,-24.6343,-172.7717,209,,,37975,FlightAware Approximate
10:00:08 PM,-35.1883,179.1251,220,488,562,39000,FlightAware ADS-B (NZRW)
10:57:12 AM,33.6254,-121.4468,262,467,537,31650,FlightAware ADS-B (KLAX)
11:15:54 AM,32.7963,-124.1697,243,486,559,34000,FlightAware ADS-B (KSBA)
10:39:08 PM,-37.0082,174.8001,252,150,173,600,FlightAware ADS-B (NZPK)
7:34:03 PM,-19.5357,-169.7129,210,,,37975,FlightAware Approximate
8:05:54 PM,-23.2076,-171.8953,209,,,37975,FlightAware Approximate
5:38:51 PM,-7.0472,-160.6234,219,488,562,37975,FlightAware ADS-B (MHX / NCMH)
10:35:26 PM,-36.9549,174.9922,251,191,220,3350,FlightAware ADS-B (AKL / NZAA)
8:21:47 PM,-25.0324,-173.0185,207,,,37975,FlightAware Approximate
7:54:34 PM,-21.9013,-171.1117,209,,,37975,FlightAware Approximate
9:58:02 PM,-34.9665,179.3498,220,490,564,39000,FlightAware ADS-B (WHK / NZWK)
8:43:24 PM,-27.5551,-174.4941,208,,,37975,FlightAware Approximate
9:25:31 PM,-32.1904,-177.9689,218,,,37975,FlightAware Approximate
10:38:51 AM,33.9123,-118.8288,263,290,334,10700,FlightAware ADS-B (KSAN)
10:36:35 AM,33.9184,-118.6242,267,269,310,5625,FlightAware ADS-B (KLAX)
10:39:21 AM,33.907,-118.8826,263,311,358,11200,FlightAware ADS-B (KMHV)
11:15:09 AM,32.8419,-124.0667,242,486,559,34000,FlightAware ADS-B (KSBP)
7:41:05 PM,-20.3424,-170.1979,208,,,37975,FlightAware Approximate
11:01:53 AM,33.5374,-122.1593,262,463,533,34000,FlightAware ADS-B (KSBA)
10:32:32 PM,-36.8869,175.2045,248,272,313,5450,FlightAware ADS-B (AKL / NZAA)
10:01:18 PM,-35.3101,179.0012,220,489,563,38975,FlightAware ADS-B (NZRW)
5:58:43 PM,-9.1618,-162.3203,219,489,563,37975,FlightAware ADS-B (MHX / NCMH)
10:26:37 PM,-36.7023,175.7563,247,337,388,12900,FlightAware ADS-B (NZKE)
5:11:21 PM,-4.1,-158.2667,219,485,558,38000,Oakland Oceanic
6:18:19 PM,-11.2129,-163.9525,218,,,38000,FlightAware Approximate
9:18:47 PM,-31.4915,-177.3277,218,,,37975,FlightAware Approximate
6:54:38 PM,-15.0253,-167.0147,209,,,37975,FlightAware Approximate
9:26:48 PM,-32.3232,-178.0922,218,,,37975,FlightAware Approximate
6:17:15 PM,-11.1018,-163.8648,218,,,38000,FlightAware Approximate
10:13:43 PM,-36.1573,177.3304,246,459,528,34275,FlightAware ADS-B (NZRW)
10:34:39 PM,-36.9409,175.0425,250,196,226,4100,FlightAware ADS-B (AKL / NZAA)
10:19:57 PM,-36.4464,176.5055,247,383,441,23050,FlightAware ADS-B (TRG / NZTG)
10:37:39 AM,33.9175,-118.7197,270,271,312,8400,FlightAware ADS-B (KLAX)
9:42:44 PM,-33.9621,-179.6541,219,,,37975,FlightAware Approximate
10:42:57 AM,33.8627,-119.3209,263,398,458,15575,FlightAware ADS-B (KSNA)
8:59:22 PM,-29.4057,-175.6264,209,,,37975,FlightAware Approximate
5:49:56 PM,-8.2251,-161.5658,219,490,564,37975,FlightAware ADS-B (PYE / NCPY)
7:37:31 PM,-19.9305,-169.9569,210,,,37975,FlightAware Approximate
10:59:22 AM,33.5852,-121.777,263,463,533,33575,FlightAware ADS-B (KSBA)
7:23:49 PM,-18.3683,-168.9994,210,,,37975,FlightAware Approximate
9:14:04 PM,-31,-176.8843,217,,,37975,FlightAware Approximate
10:16:51 PM,-36.3094,176.9004,247,416,479,28250,FlightAware ADS-B (NZPI)
7:04:43 PM,-16.1824,-167.6927,209,,,37975,FlightAware Approximate
9:54:04 PM,-34.55,179.7667,219,486,559,37975, New Zealand
7:07:08 PM,-16.4595,-167.8563,210,,,37975,FlightAware Approximate
10:10:08 PM,-35.9686,177.8556,246,472,543,39000,FlightAware ADS-B (TRG / NZTG)
8:19:27 PM,-24.7643,-172.8527,209,,,37975,FlightAware Approximate
7:47:55 PM,-21.1331,-170.6586,209,,,37975,FlightAware Approximate
3:25:46 PM,7.3667,-149.1333,218,506,582,36000,Oakland Oceanic
8:20:34 PM,-24.8923,-172.9326,210,,,37975,FlightAware Approximate
10:32:12 PM,-36.8774,175.2334,248,270,311,5875,FlightAware ADS-B (AKL / NZAA)
10:17:51 PM,-36.3534,176.7725,247,415,478,26575,FlightAware ADS-B (WHK / NZWK)
10:38:20 PM,-36.9975,174.8388,251,147,169,1200,FlightAware ADS-B (AKL / NZAA)
5:54:40 PM,-8.7303,-161.972,219,491,565,37975,FlightAware ADS-B (MHX / NCMH)
10:54:25 AM,33.6768,-121.0146,262,480,552,28275,FlightAware ADS-B (KCMA)
10:49:50 AM,33.7578,-120.303,263,458,527,24050,FlightAware ADS-B (KSMO)
5:45:21 PM,-7.7369,-161.1743,219,487,560,37975,FlightAware ADS-B (PYE / NCPY)
8:38:59 PM,-27.0409,-174.1873,208,,,37975,FlightAware Approximate
6:14:54 PM,-10.8568,-163.6719,218,,,38000,FlightAware Approximate
6:02:37 PM,-9.5768,-162.6563,219,487,560,37975,FlightAware ADS-B (MHX / NCMH)
6:02:01 PM,-9.5116,-162.6036,219,489,563,37975,FlightAware ADS-B (MHX / NCMH)
10:29:09 PM,-36.7897,175.4966,247,283,326,10425,FlightAware ADS-B (AKL / NZAA)
10:26:04 PM,-36.6822,175.816,248,337,388,13850,FlightAware ADS-B (AMZ / NZAR)
8:54:49 PM,-28.8793,-175.2997,208,,,37975,FlightAware Approximate
1:49:46 PM,18.0333,-140.9167,214,502,578,36000,Oakland Oceanic
9:51:00 PM,-34.2333,-179.9167,219,489,563,37975, New Zealand
7:05:55 PM,-16.32,-167.7739,210,,,37975,FlightAware Approximate
10:07:32 PM,-35.8291,178.2389,246,468,539,39000,FlightAware ADS-B (TRG / NZTG)
6:52:15 PM,-14.7767,-166.8167,218,,,37975,FlightAware Approximate
11:54:36 AM,30.2333,-129.5333,240,486,559,34000,Oakland Oceanic
11:09:27 AM,33.1951,-123.2575,244,477,549,33975,FlightAware ADS-B (KSBA)
6:47:45 PM,-14.3116,-166.4366,218,,,37975,FlightAware Approximate
12:04:12 PM,29.3833,-130.6667,222,503,579,34000,Oakland Oceanic
10:58:04 AM,33.6095,-121.5778,262,465,535,32475,FlightAware ADS-B (KTOA)
10:24:03 PM,-36.6081,176.0341,247,350,403,16650,FlightAware ADS-B (NZPI)
10:34:03 AM,33.9354,-118.4232,262,182,209,750,FlightAware ADS-B (KSNA)
6:11:41 PM,-10.5213,-163.4082,218,,,38000,FlightAware Approximate
10:49:34 AM,33.7621,-120.2632,263,457,526,23725,FlightAware ADS-B (KTOA)
